0|iata_code|1|city_rus
EMY|EMY|Эль-Минья|Эль-Минья
ENA|ENA||
ENB|ENB||
ENC|ENC|Ненси|Ненси
END|END||
ENE|ENE|Энде|Энде
ENF|ENF|Енонтекио|Енонтекио
ENH|ENH|Энши|Энши
ENI|ENI||
ENJ|ENJ|Эль-Нараньо|Эль-Нараньо
ENK|ENK||
ENL|ENL||
ENN|ENN||
ENO|ENO|Инкарнасьон|Инкарнасьон
ENQ|ENQ||
ENS|ENS|Энсхеде|Энсхеде
ENT|ENT||
ENU|ENU|Энугу|Энугу
ENV|ENV||
ENW|ENW||
EOH|EOH||
EOI|EOI|Эдей|Эдей
EOK|EOK||
EOR|EOR|Эль-Дорадо|Эль-Дорадо
EOS|EOS||
EOZ|EOZ|Элорса|Элорса
EPA|EPA||
EPG|EPG||
EPH|EPH||
EPI|EPI|Эпи|Эпи
EPK|EPK|Эпископи|Эпископи
EPL|EPL|Эпиналь|Эпиналь
EPN|EPN|Эпена|Эпена
EPR|EPR||
EPS|EPS|Самана|Самана
EPT|EPT|Элиптамин|Элиптамин
EPU|EPU|Парну|Парну
EQS|EQS|Эскель|Эскель
ERA|ERA|Эригаво|Эригаво
ERB|ERB||
ERC|ERC|Эрзинкан|Эрзинкан
ERD|ERD|Бердянск|Бердянск
ERE|ERE|Эрейв|Эрейв
ERF|ERF|Эрфурт|Эрфурт
ERH|ERH||
ERI|ERI|Эри|Эри
ERM|ERM||
ERN|ERN||
ERO|ERO||
ERR|ERR||
ERS|ERS|Виндхек|Виндхек
ERT|ERT||
ERU|ERU|Эруме|Эруме
ERV|ERV||
ERZ|ERZ|Эрзурум|Эрзурум
ESB|ESB|Анкара|Анкара
ESC|ESC||
ESD|ESD||
ESE|ESE||
ESF|ESF|Александрия|Александрия
ESG|ESG|Марискал-Эстигар|Марискал-Эстигар
ESH|ESH||
ESI|ESI||
ESK|ESK|Эскишехир|Эскишехир
ESL|ESL|Элиста|Элиста
ESM|ESM||
ESN|ESN||
ESO|ESO||
ESP|ESP||
ESR|ESR|Сальвадор|Сальвадор
ESS|ESS|Эссен|Эссен
EST|EST||
ESU|ESU|Эссаурия|Эссаурия
ESW|ESW||
ETB|ETB||
ETD|ETD||
ETE|ETE|Генда-Вуха|Генда-Вуха
ETH|ETH|Эйлат|Эйлат
ETN|ETN||
ETS|ETS||
ETZ|ETZ||
EUA|EUA|Эуа|Эуа
EUC|EUC||
EUE|EUE||
EUF|EUF||
EUG|EUG|Юджин|Юджин
EUM|EUM|Ноймюнстер|Ноймюнстер
EUN|EUN|Лаайюн|Лаайюн
EUO|EUO|Паратебуэно|Паратебуэно
EUQ|EUQ||
EUX|EUX||
EVA|EVA||
EVD|EVD||
EVE|EVE||
EVG|EVG|Свег|Свег
EVH|EVH||
EVM|EVM||
EVN|EVN|Ереван|Ереван
EVV|EVV||
EVW|EVW||
EVX|EVX|Эвро|Эвро
EWB|EWB||
EWD|EWD||
EWE|EWE|Эвер|Эвер
EWI|EWI|Энаротали|Энаротали
EWK|EWK|Ньютон|Ньютон
EWN|EWN|Нью Берн|Нью Берн
EWO|EWO|Эво|Эво
EWR|EWR||
EWY|EWY||
EXI|EXI||
EXM|EXM||
EXT|EXT|Эксетер|Эксетер
EYL|EYL|Йелиман|Йелиман
EYP|EYP|Эль-Йопал|Эль-Йопал
EYR|EYR||
EYS|EYS|Элийе-Спрингс|Элийе-Спрингс
EYW|EYW|Ки Уэст|Ки Уэст
EZE|EZE|Буэнос-Айрес|Буэнос-Айрес
EZS|EZS|Элязыг|Элязыг
FAA|FAA|Фаранах|Фаранах
FAB|FAB||
FAC|FAC||
FAE|FAE||
FAF|FAF||
FAG|FAG|Фагурхолсмыри|Фагурхолсмыри
FAH|FAH|Фарах|Фарах
FAI|FAI||
FAJ|FAJ||
FAK|FAK||
FAL|FAL||
FAM|FAM||
FAN|FAN|Фарсунд|Фарсунд
FAO|FAO|Фаро|Фаро
FAQ|FAQ||
FAR|FAR|Фарго|Фарго
FAS|FAS|Фаскрудсфьордур|Фаскрудсфьордур
FAT|FAT|Фресно|Фресно
FAV|FAV||
FAY|FAY|Файетвилл|Файетвилл
FAZ|FAZ||
FBD|FBD|Файзабад|Файзабад
FBE|FBE||
FBG|FBG||
FBK|FBK||
FBL|FBL||
FBM|FBM||
FBR|FBR||
FBS|FBS||
FBY|FBY||
FCA|FCA||
FCB|FCB|Фиксбург|Фиксбург
FCH|FCH|Фресно|Фресно
FCM|FCM|Миннеаполис|Миннеаполис
FCN|FCN||
FCO|FCO|Рим|Рим
FCS|FCS|Колорадо Спрингз|Колорадо Спрингз
FCT|FCT|Якима|Якима
FCY|FCY||
FDE|FDE|Форде|Форде
FDF|FDF||
FDH|FDH|Фридрихшафен|Фридрихшафен
FDK|FDK||
FDR|FDR||
FDU|FDU|Бандунду|Бандунду
FDY|FDY||
FEA|FEA||
FEB|FEB|Санфебагар|Санфебагар
FEC|FEC||
FEG|FEG|Фергана|Фергана
FEJ|FEJ||
FEK|FEK||
FEL|FEL||
FEN|FEN||
FEP|FEP||
FER|FER|Фергусонс-Галф|Фергусонс-Галф
FES|FES|Сан Фернандо|Сан Фернандо
FET|FET||
FEW|FEW|Чейнни|Чейнни
FEZ|FEZ|Фес|Фес
FFA|FFA||
FFD|FFD||
FFL|FFL||
FFM|FFM||
FFO|FFO||
FFT|FFT||
FFU|FFU|Футалеуфу|Футалеуфу
FGD|FGD||
FGI|FGI||
FGL|FGL|Фокс Гласиер|Фокс Гласиер
FGR|FGR|Фенгерола|Фенгерола
FGU|FGU|Фангатау|Фангатау
FHU|FHU||
FHZ|FHZ|Факахина|Факахина
FIC|FIC||
FID|FID||
FIE|FIE|Фейр-Айсл|Фейр-Айсл
FIG|FIG|Фриа|Фриа
FIK|FIK||
FIL|FIL||
FIN|FIN|Финшхафен|Финшхафен
FIV|FIV||
FIZ|FIZ||
FJR|FJR||
FKB|FKB|Карлсруэ|Карлсруэ
FKH|FKH||
FKI|FKI||
FKJ|FKJ|Фукуи|Фукуи
FKL|FKL||
FKN|FKN||
FKQ|FKQ||
FKS|FKS|Фукушима|Фукушима
FLA|FLA|Флоренсиа|Флоренсиа
FLB|FLB||
FLC|FLC|Фоллз-Крик|Фоллз-Крик
FLD|FLD||
FLE|FLE|Петерсбург|Петерсбург
FLF|FLF|Фленсбург|Фленсбург
FLG|FLG||
FLH|FLH||
FLI|FLI||
FLJ|FLJ||
FLL|FLL|Форт Лодердейл|Форт Лодердейл
FLM|FLM|Филадельфия|Филадельфия
FLN|FLN|Флорианополис|Флорианополис
FLO|FLO|Флоренция|Флоренция
FLP|FLP||
FLR|FLR|Флоренция|Флоренция
FLS|FLS||
FLT|FLT||
FLU|FLU|Нью-Йорк|Нью-Йорк
FLV|FLV||
FLW|FLW||
FLX|FLX||
FLY|FLY||
FMA|FMA|Формоса|Формоса
FMC|FMC||
FME|FME||
FMG|FMG||
FMH|FMH|Фолмаут|Фолмаут
FMI|FMI|Калемие|Калемие
FMN|FMN||
FMO|FMO||
FMS|FMS||
FMY|FMY|Форт Майерс|Форт Майерс
FNA|FNA||
FNB|FNB||
FNC|FNC||
FNE|FNE|Фейн|Фейн
FNG|FNG|Фада-Нгурма|Фада-Нгурма
FNH|FNH|Финча|Финча
FNI|FNI|Ним|Ним
FNJ|FNJ|Пхеньян|Пхеньян
FNK|FNK||
FNL|FNL||
FNR|FNR||
FNT|FNT|Флинт|Флинт
FOA|FOA||
FOB|FOB||
FOC|FOC|Фучжоу|Фучжоу
FOD|FOD||
FOE|FOE||
FOG|FOG|Фоджия|Фоджия
FOK|FOK||
FOM|FOM|Фумбан|Фумбан
FON|FON||
FOO|FOO|Нумфоор|Нумфоор
FOP|FOP|Форест Парк|Форест Парк
FOR|FOR|Форталеса|Форталеса
FOS|FOS||
FOT|FOT||
FOU|FOU|Фугаму|Фугаму
FOX|FOX||
FOY|FOY|Фойя|Фойя
FPR|FPR||
FPY|FPY||
FRA|FRA|Франкфурт-на-Майне|Франкфурт-на-Майне
FRB|FRB||
FRC|FRC|Франка|Франка
FRD|FRD||
FRE|FRE|Фера-Айленд|Фера-Айленд
FRF|FRF|Франкфурт-на-Майне|Франкфурт-на-Майне
FRG|FRG||
FRH|FRH||
FRI|FRI||
FRJ|FRJ|Фрехус|Фрехус
FRK|FRK||
FRL|FRL|Форли|Форли
FRM|FRM||
FRN|FRN||
FRO|FRO|Флоро|Флоро
FRP|FRP||
FRQ|FRQ|Ферамин|Ферамин
FRR|FRR||
FRS|FRS|Флорес|Флорес
FRT|FRT|Фрутильяр|Фрутильяр
FRU|FRU|Бишкек|Бишкек
FRW|FRW|Франсистаун|Франсистаун
FRY|FRY||
FRZ|FRZ||
FSC|FSC||
FSD|FSD||
FSI|FSI||
FSK|FSK||
FSL|FSL||
FSM|FSM||
FSN|FSN||
FSP|FSP||
FSS|FSS|Форрес|Форрес
FST|FST||
FSU|FSU||
FTA|FTA|Футуна-Айленд|Футуна-Айленд
FTE|FTE||
FTI|FTI|Фитута|Фитута
FTK|FTK||
FTL|FTL||
FTU|FTU|Форт-Дофин|Форт-Дофин
FTW|FTW|Форт Уорт|Форт Уорт
FTX|FTX||
FTY|FTY|Атланта|Атланта
FUB|FUB|Фуллборн|Фуллборн
FUD|FUD||
FUE|FUE||
FUG|FUG|Фуан|Фуан
FUJ|FUJ|Фуку|Фуку
FUK|FUK|Фукуока|Фукуока
FUL|FUL||
FUM|FUM|Фума|Фума
FUN|FUN||
FUO|FUO|Фушань|Фушань
FUT|FUT|Футуна-Айленд|Футуна-Айленд
FVL|FVL||
FVR|FVR||
FWA|FWA|Форт Уэйн|Форт Уэйн
FWH|FWH||
FWL|FWL||
FWM|FWM|Форт-Вильям|Форт-Вильям
FXE|FXE|Форт Лодердейл|Форт Лодердейл
FXM|FXM||
FXO|FXO||
FXY|FXY||
FYM|FYM|Файетвилл|Файетвилл
FYN|FYN|Фуюнь|Фуюнь
FYT|FYT|Файя|Файя
FYU|FYU||
FYV|FYV|Файетвилл|Файетвилл
FZO|FZO|Бристоль|Бристоль
GAA|GAA|Гуамал|Гуамал
GAB|GAB||
GAC|GAC|Грация|Грация
GAD|GAD||
GAE|GAE|Габес|Габес
GAF|GAF|Гафса|Гафса
GAG|GAG||
GAH|GAH||
GAI|GAI||
GAJ|GAJ|Ямагата|Ямагата
GAK|GAK||
GAL|GAL||
GAM|GAM||
GAN|GAN|Ген-Айленд|Ген-Айленд
GAO|GAO|Гуантанамо|Гуантанамо
GAP|GAP|Гусап|Гусап
GAQ|GAQ|Гао|Гао
GAR|GAR|Гарайна|Гарайна
GAS|GAS|Гарисса|Гарисса
GAT|GAT|Гап|Гап
GAU|GAU||
GAV|GAV|Гаг-Айленд|Гаг-Айленд
GAW|GAW|Ганго|Ганго
GAX|GAX|Гамба|Гамба
GAY|GAY|Гайя|Гайя
GAZ|GAZ||
GBA|GBA|Биг-Бей|Биг-Бей
GBB|GBB|Гара-Джебилет|Гара-Джебилет
GBC|GBC|Гасуке|Гасуке
GBD|GBD||
GBE|GBE|Габороне|Габороне
GBF|GBF|Негарбо|Негарбо
GBG|GBG||
GBH|GBH||
GBI|GBI||
GBJ|GBJ|Мари-Галанте|Мари-Галанте
GBK|GBK|Гбангбаток|Гбангбаток
GBL|GBL||
GBM|GBM|Гарбахари|Гарбахари
GBN|GBN|Сан Джованни Ротондо|Сан Джованни Ротондо
GBO|GBO|Балтимор|Балтимор
GBP|GBP||
GBQ|GBQ||
GBR|GBR||
GBS|GBS|Порт-Фицрой|Порт-Фицрой
GBT|GBT||
GBU|GBU||
GBV|GBV||
GBZ|GBZ|Грейт-Барьер-Айленд|Грейт-Барьер-Айленд
GCA|GCA||
GCC|GCC|Жилетте|Жилетте
GCH|GCH||
GCI|GCI|Гернси|Гернси
GCJ|GCJ|Йоханнесбург|Йоханнесбург
GCK|GCK||
GCM|GCM||
GCN|GCN||
GCV|GCV||
GCY|GCY||
GDA|GDA|Гунда|Гунда
GDC|GDC||
GDD|GDD||
GDE|GDE||
GDG|GDG|Магдагачи|Магдагачи
GDH|GDH||
GDI|GDI|Гордил|Гордил
GDJ|GDJ|Гандаджика|Гандаджика
GDL|GDL|Гуадалахара|Гуадалахара
GDM|GDM||
GDN|GDN|Гданьск|Гданьск
GDO|GDO||
GDP|GDP|Гуадалупе|Гуадалупе
GDQ|GDQ|Гондэр|Гондэр
GDT|GDT||
GDV|GDV||
GDW|GDW||
GDX|GDX|Магадан|Магадан
GDZ|GDZ|Геленджик|Геленджик
GEA|GEA||
GEB|GEB|Гебе|Гебе
GEC|GEC|Геситкале|Геситкале
GED|GED||
GEE|GEE||
GEF|GEF|Жева-Эйрстрип|Жева-Эйрстрип
GEG|GEG|Спокане|Спокане
GEI|GEI||
GEK|GEK||
GEL|GEL||
GEN|GEN|Осло|Осло
GER|GER|Нуэва-Герона|Нуэва-Герона
GES|GES|Женерал-Сантос|Женерал-Сантос
GET|GET||
GEV|GEV|Галливаре|Галливаре
GEW|GEW||
GEX|GEX|Гелонг|Гелонг
GEY|GEY||
GFA|GFA||
GFB|GFB||
GFD|GFD||
GFE|GFE||
GFF|GFF||
GFK|GFK||
GFL|GFL||
GFN|GFN||
GFO|GFO|Бартика|Бартика
GFR|GFR|Гранвиль|Гранвиль
GFY|GFY|Грутфонтейн|Грутфонтейн
GGC|GGC|Лумбала|Лумбала
GGD|GGD||
GGE|GGE||
GGG|GGG||
GGL|GGL|Жилгал|Жилгал
GGN|GGN||
GGO|GGO||
GGR|GGR||
GGS|GGS||
GGT|GGT||
GGW|GGW||
GHA|GHA||
GHB|GHB||
GHC|GHC||
GHD|GHD|Гимби|Гимби
GHE|GHE|Гарахин|Гарахин
GHF|GHF||
GHK|GHK|Гуш-Катиф|Гуш-Катиф
GHM|GHM||
GHN|GHN|Гуанчжань|Гуанчжань
GHT|GHT|Гат|Гат
GHU|GHU|Гуалегуайчу|Гуалегуайчу
GIB|GIB|Гибралтар|Гибралтар
GIC|GIC||
GID|GID||
GIF|GIF||
GIG|GIG||
GII|GII|Сигуири|Сигуири
GIL|GIL|Гилгит|Гилгит
GIM|GIM|Миеле-Мимбале|Миеле-Мимбале
GIR|GIR||
GIS|GIS|Гизборн|Гизборн
GIT|GIT|Гейта|Гейта
GIU|GIU|Сигирия|Сигирия
GIY|GIY||
GIZ|GIZ||
GJA|GJA||
GJL|GJL||
GJM|GJM||
GJR|GJR||
GJT|GJT|Гранд Джанкшн|Гранд Джанкшн
GKA|GKA|Горока|Горока
GKE|GKE|Гайленкирхен|Гайленкирхен
GKH|GKH|Горкха|Горкха
GKL|GKL||
GKN|GKN||
GKO|GKO|Конгобумба|Конгобумба
GKT|GKT|Гатлинбург|Гатлинбург
GLA|GLA||
GLC|GLC|Гелади|Гелади
GLD|GLD||
GLE|GLE||
GLF|GLF|Голфито|Голфито
GLG|GLG||
GLH|GLH||
GLI|GLI||
GLK|GLK|Галкайо|Галкайо
GLL|GLL|Гол|Гол
GLM|GLM|Гленормистон|Гленормистон
GLN|GLN|Гулимим|Гулимим
GLO|GLO|Глучестер|Глучестер
GLP|GLP|Гулгубип|Гулгубип
GLQ|GLQ||
GLR|GLR||
GLS|GLS|Гелвстон|Гелвстон
GLT|GLT|Гледстоун|Гледстоун
GLV|GLV||
GLW|GLW||
GLX|GLX|Галела|Галела
GLY|GLY||
GLZ|GLZ|Бреда|Бреда
GMA|GMA||
GMB|GMB|Гамбела|Гамбела
GMC|GMC|Герима|Герима
GME|GME|Гомель|Гомель
GMI|GMI|Гасмата-Айленд|Гасмата-Айленд
GMM|GMM|Гамбома|Гамбома
GMN|GMN|Греймауз|Греймауз
GMR|GMR||
GMS|GMS|Гимараес|Гимараес
GMT|GMT||
GMU|GMU||
GMV|GMV||
GMY|GMY|Райндален|Райндален
GMZ|GMZ||
GNA|GNA|Гродно|Гродно
GNB|GNB|Гренобль|Гренобль
GND|GND||
GNE|GNE|Гент|Гент
GNG|GNG||
GNI|GNI|Грин Айленд|Грин Айленд
GNM|GNM||
GNN|GNN|Гиннир|Гиннир
GNR|GNR|Хенераль-Рока|Хенераль-Рока
GNS|GNS|Гунунгситоли|Гунунгситоли
GNT|GNT||
GNU|GNU||
GNV|GNV||
GNZ|GNZ|Ганзи|Ганзи
GOA|GOA||
GOB|GOB|Гоба|Гоба
GOC|GOC|Гора|Гора
GOE|GOE||
GOF|GOF||
GOG|GOG||
GOH|GOH||
GOI|GOI|Гоа|Гоа
GOJ|GOJ|Нижний Новгород|Нижний Новгород
GOK|GOK||
GOL|GOL||
GOM|GOM|Гома|Гома
GON|GON||
GOO|GOO||
GOP|GOP|Горахпур|Горахпур
GOQ|GOQ|Голмуд|Голмуд
GOR|GOR|Гор|Гор
GOS|GOS||
GOT|GOT|Готенбург|Готенбург
GOU|GOU|Гаруа|Гаруа
GOV|GOV||
GOY|GOY|Гал-Ойя|Гал-Ойя
GOZ|GOZ||
GPA|GPA|Патрас|Патрас
GPB|GPB||
GPI|GPI|Гуапи|Гуапи
GPL|GPL|Гуапайлз|Гуапайлз
GPN|GPN||
GPO|GPO|Хенераль-Пико|Хенераль-Пико
GPS|GPS||
GPT|GPT||
GPZ|GPZ||
GQJ|GQJ||
GQQ|GQQ||
GRA|GRA|Гамарра|Гамарра
GRB|GRB|Грин Бэй|Грин Бэй
GRC|GRC|Гранд-Цесс|Гранд-Цесс
GRD|GRD||
GRE|GRE||
GRF|GRF|Такома|Такома
GRG|GRG|Гардез|Гардез
GRH|GRH|Гаруахи|Гаруахи
GRI|GRI||
GRJ|GRJ|Джордж|Джордж
GRK|GRK||
GRL|GRL|Гараса|Гараса
GRM|GRM||
GRN|GRN||
GRO|GRO|Герона|Герона
GRP|GRP||
GRQ|GRQ|Гронинген|Гронинген
GRR|GRR||
GRS|GRS|Гроссето|Гроссето
GRT|GRT|Гуджрат|Гуджрат
GRU|GRU|Сао Паоло|Сао Паоло
GRV|GRV|Грозный|Грозный
GRW|GRW||
GRX|GRX|Гранада|Гранада
GRY|GRY|Гримси|Гримси
GRZ|GRZ|Грац|Грац
GSA|GSA||
GSB|GSB||
GSC|GSC||
GSE|GSE|Готенбург|Готенбург
GSH|GSH||
GSI|GSI|Гуадалканал|Гуадалканал
GSL|GSL||
GSM|GSM||
GSN|GSN||
GSO|GSO||
GSP|GSP||
GSQ|GSQ||
GSR|GSR|Гардо|Гардо
GSS|GSS||
GST|GST||
GSU|GSU|Гедарев|Гедарев
GSY|GSY|Гримсби|Гримсби
GTA|GTA||
GTB|GTB|Гентинг|Гентинг
GTC|GTC||
GTE|GTE||
GTF|GTF||
GTG|GTG||
GTI|GTI|Гюттин|Гюттин
GTK|GTK||
GTN|GTN|Маунт Кук|Маунт Кук
GTO|GTO|Горонтало|Горонтало
GTR|GTR||
GTS|GTS||
GTT|GTT||
GTW|GTW|Злин|Злин
GTY|GTY|Геттисберг|Геттисберг
GUA|GUA|Гватемала Сити|Гватемала Сити
GUB|GUB|Гверреро-Негро|Гверреро-Негро
GUC|GUC||
GUD|GUD|Гундам|Гундам
GUE|GUE||
GUF|GUF||
GUG|GUG|Гуари|Гуари
GUH|GUH||
GUI|GUI|Гуйриа|Гуйриа
GUJ|GUJ||
GUL|GUL|Гоулбурн|Гоулбурн
GUN|GUN||
GUO|GUO|Гуалако|Гуалако
GUP|GUP|Галлап|Галлап
GUQ|GUQ|Гуанаре|Гуанаре
GUR|GUR||
GUS|GUS||
GUT|GUT||
GUU|GUU||
GUV|GUV|Мугулу|Мугулу
GUW|GUW|Атырау|Атырау
GUX|GUX|Гуна|Гуна
GUY|GUY||
GUZ|GUZ||
GVA|GVA|Женева|Женева
GVE|GVE||
GVI|GVI|Грин-Ривер|Грин-Ривер
GVL|GVL||
GVP|GVP||
GVR|GVR||
GVT|GVT||
GVW|GVW||
GVX|GVX|Гавле|Гавле
GWA|GWA||
GWD|GWD|Гвадар|Гвадар
GWE|GWE|Гверу|Гверу
GWL|GWL|Гвалиор|Гвалиор
GWN|GWN||
GWO|GWO||
GWS|GWS||
GWT|GWT||
GWV|GWV||
GWW|GWW|Берлин|Берлин
GWY|GWY|Голуэй|Голуэй
GXF|GXF|Сейюн|Сейюн
GXG|GXG|Негаге|Негаге
GXH|GXH|Милденхолл|Милденхолл
GXQ|GXQ|Койайке|Койайке
GXX|GXX|Ягуа|Ягуа
GXY|GXY||
GYA|GYA|Гуаярамерин|Гуаярамерин
GYD|GYD|Баку|Баку
GYE|GYE|Гуайяквил|Гуайяквил
GYI|GYI|Гисеный|Гисеный
GYL|GYL||
GYM|GYM||
GYN|GYN||
GYP|GYP||
GYR|GYR||
GYS|GYS||
GYY|GYY||
GZI|GZI|Газни|Газни
GZM|GZM|Гозо|Гозо
GZO|GZO|Гизо|Гизо
GZT|GZT|Газиантеп|Газиантеп
GZW|GZW||
HAA|HAA|Хасвик|Хасвик
HAB|HAB|Гамильтон|Гамильтон
HAC|HAC||
HAD|HAD|Халмстад|Халмстад
HAE|HAE||
HAF|HAF||
HAH|HAH||
HAI|HAI||
HAJ|HAJ|Ганновер|Ганновер
HAK|HAK|Хайкоу|Хайкоу
HAL|HAL|Халали|Халали
HAM|HAM|Гамбург|Гамбург
HAN|HAN|Ханой|Ханой
HAO|HAO|Гамильтон|Гамильтон
HAP|HAP|Лонг Айленд|Лонг Айленд
HAQ|HAQ||
HAR|HAR||
HAS|HAS|Хаиль|Хаиль
HAT|HAT||
HAU|HAU|Хаугезунд|Хаугезунд
HAV|HAV|Гавана|Гавана
HAW|HAW||
HAX|HAX||
HAY|HAY||
HAZ|HAZ|Хетцфельдтавен|Хетцфельдтавен
HBA|HBA|Хобарт|Хобарт
HBB|HBB||
HBC|HBC||
HBD|HBD||
HBE|HBE|Александрия|Александрия
HBG|HBG|Хаттисберг|Хаттисберг
HBH|HBH||
HBI|HBI|Харбор-Айленд|Харбор-Айленд
HBL|HBL|Бабелеги|Бабелеги
HBN|HBN||
HBO|HBO||
HBR|HBR||
HBT|HBT|Хафр-Альбатин|Хафр-Альбатин
HBX|HBX|Хубли|Хубли
HCA|HCA||
HCB|HCB||
HCC|HCC||
HCM|HCM||
HCN|HCN||
HCQ|HCQ|Холлз Крик|Холлз Крик
HCR|HCR||
HCS|HCS|Йоханнесбург|Йоханнесбург
HCW|HCW||
HDA|HDA||
HDB|HDB|Хайдельберг|Хайдельберг
HDD|HDD|Хидерабад|Хидерабад
HDE|HDE||
HDF|HDF|Херингсдорф|Херингсдорф
HDH|HDH||
HDM|HDM|Хамадан|Хамадан
HDN|HDN||
HDR|HDR||
HDS|HDS||
HDY|HDY|Хат Яй|Хат Яй
HEA|HEA|Герат|Герат
HEB|HEB|Хензада|Хензада
HED|HED||
HEE|HEE|Хелена|Хелена
HEH|HEH|Хехо|Хехо
HEI|HEI||
HEK|HEK|Хейхе|Хейхе
HEL|HEL||
HEM|HEM|Хельсинки|Хельсинки
HEN|HEN||
HEO|HEO||
HER|HER||
HES|HES||
HET|HET|Хоххот|Хоххот
HEV|HEV|Гуелва|Гуелва
HEW|HEW|Афины|Афины
HEX|HEX|Санто-Доминго|Санто-Доминго
HEY|HEY||
HEZ|HEZ|Натчез|Натчез
HFA|HFA|Хайфа|Хайфа
HFD|HFD|Хартфорд|Хартфорд
HFE|HFE|Хефей|Хефей
HFF|HFF||
HFN|HFN||
HFS|HFS|Хагфорс|Хагфорс
HFT|HFT|Хаммерфест|Хаммерфест
HGA|HGA|Харгейса|Харгейса
HGD|HGD||
HGH|HGH|Ханчжоу|Ханчжоу
HGI|HGI||
HGL|HGL|Хелголанд|Хелголанд
HGN|HGN|Мей-Хонг-Сон|Мей-Хонг-Сон
HGO|HGO||
HGR|HGR||
HGS|HGS||
HGT|HGT||
HGU|HGU||
HGZ|HGZ||
HHA|HHA|Чанша|Чанша
HHE|HHE|Хачинохе|Хачинохе
HHH|HHH||
HHI|HHI||
HHN|HHN||
HHP|HHP|Гонконг|Гонконг
HHQ|HHQ|Хуа-Хин|Хуа-Хин
HHR|HHR||
HHZ|HHZ|Хикуэру|Хикуэру
HIB|HIB||
HIC|HIC|Претория|Претория
HID|HID|Хорн-Айленд|Хорн-Айленд
HIE|HIE||
HIF|HIF|Огден|Огден
HIG|HIG|Хайбери|Хайбери
HIH|HIH|Хук-Айленд|Хук-Айленд
HII|HII||
HIJ|HIJ|Хиросима|Хиросима
HIK|HIK|Гонолулу|Гонолулу
HIL|HIL|Шилаво|Шилаво
HIM|HIM||
HIN|HIN||
HIO|HIO||
HIP|HIP||
HIR|HIR||
HIS|HIS|Хейман Айленд|Хейман Айленд
HIT|HIT|Хиваро|Хиваро
HIW|HIW|Хиросима|Хиросима
HIX|HIX||
HJJ|HJJ||
HJR|HJR|Кхаджурахо|Кхаджурахо
HJT|HJT||
HKA|HKA||
HKB|HKB||
HKD|HKD|Хакодате|Хакодате
HKG|HKG|Гонконг|Гонконг
HKK|HKK|Хокитика|Хокитика
HKN|HKN||
HKS|HKS|Джексон|Джексон
HKT|HKT|Пхукет|Пхукет
HKV|HKV|Хасково|Хасково
HKY|HKY||
HLA|HLA|Лансерия|Лансерия
HLB|HLB||
HLC|HLC||
HLD|HLD|Хайлар|Хайлар
HLF|HLF|Хултсфред|Хултсфред
HLG|HLG||
HLH|HLH|Уланьхот|Уланьхот
HLI|HLI||
HLL|HLL||
HLM|HLM||
HLN|HLN|Хелена|Хелена
HLP|HLP|Джакарта|Джакарта
HLR|HLR||
HLS|HLS|Сент Хеленс|Сент Хеленс
HLT|HLT|Гамильтон|Гамильтон
HLU|HLU||
HLV|HLV|Хеленвейл|Хеленвейл
HLW|HLW|Хлухлуве|Хлухлуве
HLY|HLY||
HLZ|HLZ|Гамильтон|Гамильтон
HMA|HMA|Ханты-Мансийск|Ханты-Мансийск
HME|HME||
HMG|HMG||
HMI|HMI|Хами|Хами
HMJ|HMJ|Хмельницкий|Хмельницкий
HMN|HMN|Аламогордо|Аламогордо
HMO|HMO|Хермосилльо|Хермосилльо
HMR|HMR|Хамар|Хамар
HMS|HMS||
HMT|HMT||
HMV|HMV||
HNA|HNA||
HNB|HNB||
HNC|HNC||
HND|HND|Токио|Токио
HNE|HNE||
HNG|HNG|Хьенгене|Хьенгене
HNH|HNH||
HNI|HNI|Хейвени|Хейвени
HNK|HNK||
HNL|HNL|Гонолулу|Гонолулу
HNM|HNM||
HNN|HNN|Хонинаби|Хонинаби
HNO|HNO||
HNS|HNS||
HNX|HNX||
HNY|HNY|Хеньян|Хеньян
HOA|HOA|Хола|Хола
HOB|HOB||
HOC|HOC||
HOD|HOD||
HOE|HOE|Хоуисей|Хоуисей
HOF|HOF||
HOG|HOG|Голгуин|Голгуин
HOH|HOH|Хохенемс|Хохенемс
HOI|HOI|Хао-Айленд|Хао-Айленд
HOK|HOK||
HOL|HOL||
HOM|HOM||
HON|HON||
HOO|HOO|Кваньдук|Кваньдук
HOP|HOP||
HOQ|HOQ|Хоф|Хоф
HOR|HOR||
HOS|HOS||
HOT|HOT||
HOU|HOU||
HOV|HOV||
HOW|HOW||
HOX|HOX|Хомалин|Хомалин
HOY|HOY|Хой-Айленд|Хой-Айленд
HPB|HPB||
HPE|HPE||
HPH|HPH|Хейфонг|Хейфонг
HPN|HPN||
HPP|HPP||
HPR|HPR|Претория|Претория
HPT|HPT||
HPV|HPV||
HPY|HPY||
HQM|HQM||
HRA|HRA|Мансехра|Мансехра
HRB|HRB|Харбин|Харбин
HRC|HRC|Жайрем|Жайрем
HRE|HRE|Хараре|Хараре
HRG|HRG|Хургада|Хургада
HRJ|HRJ|Чаурджхари|Чаурджхари
HRK|HRK|Харьков|Харьков
HRL|HRL|Харлинген|Харлинген
HRN|HRN|Герон Айленд|Герон Айленд
HRO|HRO||
